technology,carrier,province,year,share,target_mw_before_existing_stock_adjustment,lower_limit_mw_before_existing_stock_adjustment,upper_limit_mw_before_existing_stock_adjustment,national_target_mw,lower_multiplier,upper_multiplier,allocation_basis,national_source_note
Battery storage power,battery,Anhui,2030,0.025064,9273.573829,0.0,9273.573829,370000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,储能产业研究白皮书2026 / NEA 2030年累计超3.7亿千瓦
Battery storage power,battery,Beijing,2030,0.00066,244.055807,0.0,244.055807,370000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,储能产业研究白皮书2026 / NEA 2030年累计超3.7亿千瓦
Battery storage power,battery,Chongqing,2030,0.001453,537.457643,0.0,537.457643,370000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,储能产业研究白皮书2026 / NEA 2030年累计超3.7亿千瓦
Battery storage power,battery,Fujian,2030,0.005485,2029.599617,0.0,2029.599617,370000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,储能产业研究白皮书2026 / NEA 2030年累计超3.7亿千瓦
Battery storage power,battery,Gansu,2030,0.046619,17248.847594,0.0,17248.847594,370000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,储能产业研究白皮书2026 / NEA 2030年累计超3.7亿千瓦
Battery storage power,battery,Guangdong,2030,0.053803,19907.273089,0.0,19907.273089,370000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,储能产业研究白皮书2026 / NEA 2030年累计超3.7亿千瓦
Battery storage power,battery,Guangxi,2030,0.007324,2709.722186,0.0,2709.722186,370000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,储能产业研究白皮书2026 / NEA 2030年累计超3.7亿千瓦
Battery storage power,battery,Guizhou,2030,0.015101,5587.231209,0.0,5587.231209,370000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,储能产业研究白皮书2026 / NEA 2030年累计超3.7亿千瓦
Battery storage power,battery,Hainan,2030,0.001541,570.208084,0.0,570.208084,370000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,储能产业研究白皮书2026 / NEA 2030年累计超3.7亿千瓦
Battery storage power,battery,Hebei,2030,0.048958,18114.38097,0.0,18114.38097,370000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,储能产业研究白皮书2026 / NEA 2030年累计超3.7亿千瓦
Battery storage power,battery,Heilongjiang,2030,0.005153,1906.67528,0.0,1906.67528,370000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,储能产业研究白皮书2026 / NEA 2030年累计超3.7亿千瓦
Battery storage power,battery,Henan,2030,0.036765,13602.941076,0.0,13602.941076,370000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,储能产业研究白皮书2026 / NEA 2030年累计超3.7亿千瓦
Battery storage power,battery,Hubei,2030,0.011538,4269.15791,0.0,4269.15791,370000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,储能产业研究白皮书2026 / NEA 2030年累计超3.7亿千瓦
Battery storage power,battery,Hunan,2030,0.039099,14466.774085,0.0,14466.774085,370000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,储能产业研究白皮书2026 / NEA 2030年累计超3.7亿千瓦
